"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"SOS2"	"MAPK3"	"327"	"0.758199310775126"	"Sig-sig"
"SOS2"	"FOS"	"328"	"0.758379375992829"	"Sig-sig"
"SOS2"	"JUN"	"329"	"0.758636886016564"	"Sig-sig"
"SOS2"	"PTPN11"	"330"	"0.758955437536927"	"Sig-non"
"SOS2"	"PIK3C2A"	"331"	"0.75929612933192"	"Sig-sig"
"SOS2"	"PIK3C2B"	"332"	"0.759310722770637"	"Sig-sig"
"SOS2"	"PIK3C2G"	"333"	"0.759395717711188"	"Sig-non"
"SOS2"	"PIK3C3"	"334"	"0.759444705328356"	"Sig-non"
"SOS2"	"PIK3CA"	"335"	"0.759460699698583"	"Sig-non"
"SOS2"	"PIK3CB"	"336"	"0.759600472671274"	"Sig-non"
"SOS2"	"PIK3CD"	"337"	"0.759974682837119"	"Sig-sig"
"SOS2"	"PIK3CG"	"338"	"0.760153956633116"	"Sig-sig"
"SOS2"	"PIK3R1"	"339"	"0.760301297215673"	"Sig-sig"
"SOS2"	"PIK3R2"	"340"	"0.760322797209008"	"Sig-sig"
"SOS2"	"PIK3R3"	"341"	"0.760404158922151"	"Sig-non"
"SOS2"	"PIK3R5"	"342"	"0.760929799030899"	"Sig-non"
"HRAS"	"KRAS"	"343"	"0.761285701123752"	"Sig-non"
"HRAS"	"MRAS"	"344"	"0.761535289977659"	"Non-non"
"HRAS"	"NRAS"	"345"	"0.76160241142552"	"Sig-non"
"HRAS"	"RRAS"	"346"	"0.761699915724593"	"Sig-non"
"HRAS"	"RRAS2"	"347"	"0.762133870506245"	"Sig-non"
"HRAS"	"RAF1"	"348"	"0.762628617969763"	"Non-non"
"HRAS"	"MAP2K1"	"349"	"0.762667842821744"	"Non-non"
"HRAS"	"MAP2K2"	"350"	"0.762918877339819"	"Sig-non"
"HRAS"	"MAPK1"	"351"	"0.762946136159872"	"Sig-non"
"HRAS"	"MAPK3"	"352"	"0.763075304395605"	"Sig-non"
"HRAS"	"FOS"	"353"	"0.763231189795105"	"Sig-non"
"HRAS"	"JUN"	"354"	"0.763930258062292"	"Sig-non"
"HRAS"	"PTPN11"	"355"	"0.764187366417033"	"Non-non"
"HRAS"	"PIK3C2A"	"356"	"0.764627494690809"	"Sig-non"
"HRAS"	"PIK3C2B"	"357"	"0.764673874899946"	"Sig-non"
"HRAS"	"PIK3C2G"	"358"	"0.765086819278031"	"Non-non"
"HRAS"	"PIK3C3"	"359"	"0.765270093801567"	"Non-non"
"HRAS"	"PIK3CA"	"360"	"0.765913068974829"	"Non-non"
"HRAS"	"PIK3CB"	"361"	"0.766203291857987"	"Non-non"
"HRAS"	"PIK3CD"	"362"	"0.766283873445473"	"Sig-non"
"HRAS"	"PIK3CG"	"363"	"0.76632870363132"	"Sig-non"
"HRAS"	"PIK3R1"	"364"	"0.766667613321584"	"Sig-non"
"HRAS"	"PIK3R2"	"365"	"0.766682116150545"	"Sig-non"
"HRAS"	"PIK3R3"	"366"	"0.766855579338339"	"Non-non"
"HRAS"	"PIK3R5"	"367"	"0.766968903966717"	"Non-non"
"KRAS"	"MRAS"	"368"	"0.767120962356766"	"Sig-non"
"KRAS"	"NRAS"	"369"	"0.767136483241515"	"Sig-sig"
